JVET number,MPEG number,Created,First upload,Last upload,Title,Source,Download Link,Type
JVET-B0024,m37750,2016-02-10 10:02:09,2016-02-15 15:35:39,2016-02-17 15:20:11,Evaluation report of SJTU Test Sequences,"T. Biatek, X. Ducloux (BCom)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0024-v2.zip,0
JVET-B0025,m37778,2016-02-12 06:09:39,2016-02-12 06:38:55,2016-02-15 05:47:05,Evaluation Report of Chimera Test Sequence for Future Video Coding,"H. Ko, S.-C. Lim, J. Kang, D. Jun, J. Lee, H. Y. Kim (ETRI)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0025-v2.zip,0
JVET-B0026,m37779,2016-02-12 06:10:40,2016-02-12 06:39:27,2016-02-15 05:47:37,JEM1.0 Encoding Results of Chimera Test Sequence,"S.-C. Lim, H. Ko, J. Kang, H. Y. Kim (ETRI)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0026-v2.zip,0
JVET-B0027,m37796,2016-02-13 03:07:31,2016-02-13 03:10:27,2016-02-13 03:10:27,SJTU 4K test sequences evaluation report from Sejong University,"N. Kim, J. Choi, G.-R. Kim, Y.-L. Lee (Sejong Univ.)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0027-v1.zip,0
JVET-B0028,m37809,2016-02-15 02:17:32,2016-02-15 15:55:10,2016-02-20 17:30:17,Direction-dependent sub-TU scan order on intra prediction,"S. Iwamura, A. Ichigaya (NHK)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0028-v2.zip,0
JVET-B0029,m37820,2016-02-15 04:31:35,2016-02-15 04:47:27,2016-02-15 04:47:27,Evaluation report of B-Com test sequence (JCTVC-V0086),"O.  Nakagami, T. Suzuki (Sony)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0029-v1.zip,0
JVET-B0030,m37821,2016-02-15 04:43:04,2016-02-15 05:11:26,2016-02-15 05:11:26,Comment on test sequence selection,"O.  Nakagami, T.  Suzuki (Sony)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0030-v1.zip,0
JVET-B0031,m37822,2016-02-15 05:14:56,2016-02-16 05:08:49,2016-02-16 05:08:49,Evaluation report of Huawei test sequence,"K. Choi, E. Alshina, A. Alshin, M. Park (Samsung)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0031-v1.zip,0
JVET-B0033,m37824,2016-02-15 05:21:46,2016-02-16 05:09:44,2016-02-21 04:32:07,Adaptive Multiple Transform for Chroma,"K. Choi, E. Alshina, A. Alshin, M. Park, M. Park, C. Kim (Samsung)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0033-v4.zip,0
JVET-B0034,m37825,2016-02-15 05:26:09,2016-02-16 05:10:38,2016-02-16 05:10:38,Cross-check of JVET-B0023,"E. Alshina, K. Choi, A. Alshin, M. Park, M. Park, C. Kim (Samsung)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0034-v1.zip,3
JVET-B0035,m37829,2016-02-15 08:58:14,2016-02-16 12:11:43,2016-02-16 12:11:43,Evaluation Report of Chimera and Huawei Test Sequences for Future Video Coding,P. Philippe (Orange),https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0035-v1.zip,0
JVET-B0037,m37841,2016-02-15 12:04:45,2016-02-15 14:43:51,2016-02-19 15:10:34,Performance analysis of affine inter prediction in JEM1.0,"H. Zhang, H. Chen, X. Ma, H. Yang (Huawei)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0037-v2.zip,1
JVET-B0038,m37842,2016-02-15 12:07:39,2016-02-15 14:44:23,2016-02-19 15:09:18,"Harmonization of AFFINE, OBMC and DBF","H. Chen, S. Lin, H. Yang, X. Ma (Huawei)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0038-v2.zip,0
JVET-B0039,m37845,2016-02-15 12:40:11,2016-02-15 23:18:30,2016-03-11 19:49:50,Non-normative JEM encoder improvements,"K. Andersson, P. Wennersten, R. Sjoberg, J. Samuelsson, J. Strom, P. Hermansson, M. Pettersson (Ericsson)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0039-v3.zip,0
JVET-B0040,m37855,2016-02-15 14:32:47,2016-02-15 17:39:50,2016-02-20 21:26:34,Evaluation Report of Huawei and B-Com Test Sequences for Future Video Coding,"F. Racapé, F. Le Léannec, T. Poirier (Technicolor)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0040-v2.zip,0
JVET-B0041,m37862,2016-02-15 15:20:43,2016-02-18 03:12:59,2016-02-21 10:06:43,Adaptive reference sample smoothing simplification,"A. Filippov, V. Rufitskiy (Huawei)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0041-v4.zip,0
JVET-B0042,m37888,2016-02-15 17:34:11,2016-02-15 18:03:23,2016-02-20 18:27:21,Evaluation Report of B-COM Test Sequence for Future Video Coding (JCTVC-V0086),"H. B. Teo, M. Dong (Panasonic)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0042-v3.zip,0
JVET-B0043,m37890,2016-02-15 18:06:12,2016-02-15 23:23:21,2016-02-20 18:03:10,Polyphase subsampled signal for spatial scalability,E. Thomas (TNO),https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0043-v2.zip,0
JVET-B0044,m37898,2016-02-15 18:40:36,2016-02-15 23:54:59,2016-02-23 20:29:56,Coding Efficiency / Complexity Analysis of JEM 1.0 coding tools for the Random Access Configuration,"H. Schwarz, C. Rudat, M. Siekmann, B. Bross, D. Marpe, T. Wiegand (Fraunhofer HHI)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0044-v4.zip,0
JVET-B0045,m37956,2016-02-16 01:58:25,2016-02-16 07:35:03,2016-02-20 21:27:44,Performance evaluation of JEM 1 tools by Qualcomm,"J. Chen, X. Li, F. Zou, M. Karczewicz, W.-J. Chien, T. Hsieh (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0045-v3.zip,1
JVET-B0046,m37957,2016-02-16 02:17:57,2016-02-16 02:25:03,2016-02-21 23:16:32,Evaluation report of Netflix Chimera and SJTU test sequences,"F. Zou, J. Chen, X. Li, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0046-v2.zip,0
JVET-B0047,m37958,2016-02-16 02:18:53,2016-02-16 04:07:53,2016-02-21 03:33:27,Non Square TU Partitioning,"K. Rapaka, J. Chen, L. Zhang, W.-J. Chien, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0047-v2.zip,0
JVET-B0048,m37961,2016-02-16 04:31:59,2016-02-16 15:59:49,2016-02-21 17:54:10,Universal string matching for ultra high quality and ultra high efficiency SCC,"L. Zhao, K. Zhou, J. Guo, S. Wang, T. Lin (Tongji Univ.)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0048-v4.zip,0
JVET-B0049,m37962,2016-02-16 04:34:23,2016-02-16 16:02:14,2016-02-23 08:35:43,Four new SCC test sequences for ultra high quality and ultra high efficiency SCC,"J. Guo, L. Zhao, Tao Lin (Tongji Univ.)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0049-v6.zip,0
JVET-B0050,m37963,2016-02-16 04:36:58,2016-02-16 16:54:00,2016-02-21 15:52:23,Performance comparison of HEVC SCC CTC sequences between HM16.6 and JEM1.0,"S. Wang, T. Lin (Tongji Univ.)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0050-v3.zip,1
JVET-B0052,m37965,2016-02-16 07:46:08,2016-02-16 08:02:52,2016-02-21 21:55:29,Report of evaluating Huawei surveillance test sequences,"C.-C. Lin, J.-S. Tu, Y.-J. Chang, C.-L. Lin (ITRI)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0052-v6.zip,0
JVET-B0053,m37966,2016-02-16 07:49:02,2016-02-16 08:04:05,2016-02-20 02:32:14,Report of evaluating Huawei UGC test sequences,"J.-S. Tu, C.-C. Lin, Y.-J. Chang, C.-L. Lin (ITRI)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0053-v3.zip,0
JVET-B0054,m37972,2016-02-16 09:25:00,2016-02-16 09:44:13,2016-02-21 19:04:12,De-quantization and scaling for next generation containers,"J. Zhao, A. Segall, S.-H. Kim, K. Misra (Sharp)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0054-v2.zip,0
JVET-B0055,m37973,2016-02-16 09:46:19,2016-02-21 17:00:07,2016-02-21 17:00:07,Netflix Chimera test sequences evaluation report,"M. Sychev, H. Chen (Huawei)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0055-v1.zip,0
JVET-B0056,m37980,2016-02-16 10:57:10,2016-02-16 10:59:30,2016-02-16 10:59:30,Evaluation report of SJTU Test Sequences from Sharp,T. Ikai (Sharp),https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0056-v1.zip,0
JVET-B0057,m37990,2016-02-16 17:23:15,2016-02-18 14:15:40,2016-02-21 10:10:21,Evaluation of some intra-coding tools of JEM1,"A. Filippov, V. Rufitskiy (Huawei)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0057-v3.zip,0
JVET-B0058,m37994,2016-02-16 23:18:03,2016-02-16 23:35:44,2016-02-23 21:54:07,Modification of merge candidate derivation,"W. -J.  Chien, J. Chen, S. Lee, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0058-v4.zip,0
JVET-B0059,m37998,2016-02-17 05:06:31,2016-02-17 05:29:50,2016-02-21 03:32:20,TU-level non-separable secondary transform,"X. Zhao, A. Said, V. Seregin, M. Karczewicz, J. Chen, R. Joshi (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0059-v2.zip,0
JVET-B0060,m38000,2016-02-17 05:19:30,2016-02-17 05:28:11,2016-02-20 01:40:08,Improvements on adaptive loop filter,"M. Karczewicz, L. Zhang, W.-J. Chien, X. Li (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0060-v2.zip,0
JVET-B0061,m38004,2016-02-17 06:29:45,2016-02-17 07:17:22,2016-02-17 12:18:47,Evaluation report of SJTU test sequences for future video coding standardization,"S.-H. Park, H. Xu, E. S. Jang (Hanyang Univ.)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0061-v2.zip,0
JVET-B0062,m38019,2016-02-17 13:12:30,2016-02-19 15:06:12,2016-02-19 15:06:12,Crosscheck of JVET-B0022(ATMVP),"X. Ma, H. Chen, H. Yang (Huawei)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0062-v1.zip,3
JVET-B0063,m38078,2016-02-19 07:08:45,2016-02-19 07:20:12,2016-02-19 07:20:12,Cross-check of non-normative JEM encoder improvements (JVET-B0039),"B. Li, J. Xu (Microsoft)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0063-v1.zip,3
JVET-B0065,m38096,2016-02-20 04:16:23,2016-02-20 17:58:16,2016-02-23 03:21:38,Coding results of 4K surveillance and 720p portrait sequences for future video coding,"K. Kawamura, S. Naito (KDDI)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0065-v2.zip,0
JVET-B0066,m38100,2016-02-20 09:55:37,2016-02-21 04:28:46,2016-03-14 16:51:37,Cross-check of JVET-B0058: Modification of merge candidate derivation,"H. Chen, H. Yang (Huawei)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0066-v2.zip,3
JVET-B0068,m38104,2016-02-20 19:58:43,2016-02-22 00:38:06,2016-02-22 00:38:06,Cross-check of Non Square TU Partitioning (JVET-B0047),O.  Nakagami (Sony),https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0068-v1.zip,3
JVET-B0069,m38105,2016-02-20 21:06:16,2016-02-25 10:41:24,2016-02-25 10:41:24,Crosscheck of the improvements on ALF in JVET-B060,"C.-Y. Chen, Y.-W. Huang (MediaTek)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0069-v1.zip,3
JVET-B0070,m38106,2016-02-20 21:19:55,2016-02-25 19:48:36,2016-02-25 19:48:36,Cross-check of JVET-B0060,"B. Li, J. Xu (Microsoft)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0070-v1.zip,3
JVET-B0072,m38109,2016-02-21 02:21:38,2016-02-21 02:24:37,2016-02-21 19:33:56,SJTU 4k test sequences evaluation report,"S. Jeon, N. Kim, H. Shim, B. Jeon (SKKU)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0072-v3.zip,0
JVET-B0073,m38117,2016-02-21 20:17:28,2016-02-21 20:31:14,2016-02-24 03:10:14,Simplification of Low Delay configurations for JVET CTC,M. Sychev (Huawei),https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0073-v3.zip,0
JVET-B0074,m38122,2016-02-22 00:16:55,2016-02-23 03:14:00,2016-02-24 23:17:46,Report of BoG on parallel encoding and removal of cross-RAP dependencies,"K. Suehring, H. Yang (BoG coordinators)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0074-v2.zip,0
JVET-B0075,m38160,2016-02-23 08:26:10,2016-02-23 15:37:54,2016-02-23 15:37:54,Report on BoG on informal subjective viewing related to JVET-B0039,"K. Andersson, E. Alshina (BoG coordinators)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0075-v1.zip,0
JVET-B0076,m38172,2016-02-24 18:14:39,2016-02-24 20:22:20,2016-03-03 02:21:25,Report of BoG on selection of test material,"T. Suzuki, J. Chen (BoG coordinators)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0076-v2.zip,0
JVET-B1000,m38200,2016-02-27 21:17:38,2016-05-26 08:15:54,2016-05-26 08:15:54,"Meeting Report of 2nd JVET Meeting (20–26 Feb. 2016, San Diego, USA)","G. J. Sullivan, J.-R. Ohm (JVET coordinators)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B1000-v1.zip,1
JVET-B1001,m38201,2016-02-27 21:20:40,2016-03-08 18:04:59,2016-03-25 22:30:44,Algorithm description of Joint Exploration Test Model 2,"J. Chen, E. Alshina, G. J. Sullivan, J.-R. Ohm, J. Boyce (JEM editors)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B1001-v3.zip,0
JVET-B1002,m38199,2016-02-26 23:44:07,2016-03-05 23:52:05,2016-03-05 23:52:05,Call for test material for future video coding standardization,"A. Norkin, H. Yang, J.-R. Ohm, G. J. Sullivan, T. Suzuki (call coordinators)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B1002-v1.zip,0
JVET-B1010,m38202,2016-02-27 21:31:20,2016-04-01 15:29:21,2016-04-04 13:20:09,JVET common test conditions and software reference configurations,"K. Suehring, X. Li (CTC editors)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B1010-v2.zip,0
JVET-B1011,m38182,2016-02-25 02:05:31,2016-02-25 16:41:35,2016-03-14 07:26:38,Description of Exploration Experiments on Coding Tools,"E. Alshina, J. Boyce, Y.-W. Huang, S.-H. Kim, L. Zhang (EE coordinators)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B1011-v2.zip,0
JVET-C0001,m38786,2016-05-26 11:19:29,2016-05-26 11:20:33,2016-05-26 11:20:33,JVET AHG report: Tool evaluation (AHG1),"M. Karczewicz, E. Alshina",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0001-v1.zip,0
JVET-C0002,m38774,2016-05-25 22:11:49,2016-05-26 10:23:34,2016-05-26 10:23:34,JVET AHG report: JEM algorithm description editing (AHG2),"J. Chen, E. Alshina, J. Boyce",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0002-v1.zip,0
JVET-C0003,m38761,2016-05-25 16:40:49,2016-05-26 09:23:39,2016-05-26 16:25:47,JVET AHG report: JEM software development (AHG3),"X. Li, K.Suehring",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0003-v2.zip,0
JVET-C0004,m38744,2016-05-25 03:07:29,2016-05-26 14:39:09,2016-05-26 14:39:09,JVET AHG report: Test material (AHG4),"T. Suzuki, J. Chen, A. Norkin, J. Boyce",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0004-v1.zip,0
JVET-C0005,m38814,2016-05-28 09:19:20,2016-05-28 09:29:24,2016-05-28 09:29:24,JVET AHG report: Visual quality metrics (AHG5),"P. Nasiopoulos, M. T. Pourazad",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0005-v1.zip,0
JVET-C0010,m38735,2016-05-25 00:28:50,2016-05-25 00:32:47,2016-05-26 07:29:17,Exploration Experiments on Coding Tools Report,"E. Alshina, J. Boyce, Y.-W. Huang, S.-H. Kim, L. Zhang",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0010-v3.zip,0
JVET-C0021,m38243,2016-05-03 02:14:25,2016-05-03 02:42:13,2016-06-15 20:56:38,GoPro test sequences for Virtual Reality video coding,A. Abbas (GoPro),https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0021-v5.zip,0
JVET-C0022,m38377,2016-05-13 14:13:05,2016-05-16 23:00:13,2016-05-27 18:49:19,Proposed improvements to the Adaptive multiple Core transform,"P. Philippe (Orange), V. Lorcy (bcom)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0022-v4.zip,0
JVET-C0023,m38381,2016-05-15 13:59:00,2016-05-15 14:21:07,2016-05-15 14:21:07,Predictors Elimination Technique for HEVC,"M. Korman, O. Prosekov (Synopsys)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0023-v1.zip,0
JVET-C0024,m38383,2016-05-16 11:04:08,2016-05-16 11:12:59,2016-05-25 23:05:41,EE2.1: Quadtree plus binary tree structure integration with JEM tools,"H. Huang, K. Zhang, Y.-W. Huang, S. Lei (MediaTek)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0024-v2.zip,1
JVET-C0025,m38384,2016-05-16 11:59:52,2016-05-16 12:04:25,2016-05-27 22:35:25,Simplification of motion compensation filter for affine inter prediction,"J. Nam, H. Jang, J. Lee, B. Lee, J. Lim (LGE)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0025-v2.zip,0
JVET-C0026,m38385,2016-05-16 12:10:28,2016-05-16 14:42:27,2016-05-24 14:48:44,Tiles coding improvement for Inter pictures by improved merge list at tile boundaries,S. Biplab Raut (Samsung),https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0026-v3.zip,0
JVET-C0027,m38386,2016-05-16 13:13:56,2016-05-17 07:09:59,2016-05-28 09:40:14,Simplification and improvements for BIO design in JEM2.0,"E. Alshina, A. Alshin (Samsung)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0027-v3.zip,0
JVET-C0028,m38387,2016-05-16 14:00:35,2016-05-16 15:53:45,2016-05-25 16:59:25,Suggested 1080P Test Sequences Downsampled from 4K Sequences,"H. Zhang, X. Ma, H. Yang (Huawei)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0028-v2.zip,0
JVET-C0029,m38388,2016-05-16 14:16:53,2016-05-16 15:54:57,2016-05-26 15:03:03,Surveillance sequences for video coding development,"H. Zhang, X. Ma, H. Yang (Huawei), W. Qiu (Hisilicon)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0029-v2.zip,1
JVET-C0031,m38390,2016-05-16 14:30:40,2016-05-16 14:45:50,2016-05-27 19:31:37,BIO improvement to reduce the encoder and decoder complexities,"J. Lee, N. Park, J. Nam, J. Lim (LGE)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0031-v3.zip,0
JVET-C0034,m38393,2016-05-16 16:30:25,2016-05-26 01:28:27,2016-06-01 11:53:19,Open-source inspired worflow for JEM maintenance (informative),E. Thomas (TNO),https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0034-v4.zip,1
JVET-C0035,m38395,2016-05-16 18:00:41,2016-05-16 22:42:18,2016-05-26 14:23:36,EE2.6: Modification of Merge candidate derivation: ATMVP simplification and Merge pruning,"S. Lee, W.-J. Chien, L. Zhang, J. Chen, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0035-v2.zip,1
JVET-C0036,m38396,2016-05-16 18:43:00,2016-05-20 19:28:26,2016-05-20 19:28:26,Cross-check of JVET-C0038 (EE2.5 Improvements on adaptive loop filter),R. Chernyak (Huawei),https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0036-v1.zip,3
JVET-C0037,m38397,2016-05-16 18:57:19,2016-05-16 21:11:24,2016-06-01 00:15:51,Sequential/Parallel bistreams unification for JVET CTC,"R. Mullakhmetov, I. Sharonov, M. Sychev (Huawei)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0037-v3.zip,0
JVET-C0038,m38398,2016-05-16 20:23:59,2016-05-17 04:41:40,2016-05-26 13:44:16,EE2.5: Improvements on adaptive loop filter,"M. Karczewicz, L. Zhang, W.-J.  Chien, X. Li (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0038-v2.zip,1
JVET-C0039,m38403,2016-05-16 22:24:47,2016-05-16 23:21:35,2016-05-25 05:21:11,Decoupled Luma/Chroma Transform Trees for Intra,"F. Urban, T. Poirier, F. Le Léannec (Technicolor)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0039-v3.zip,0
JVET-C0040,m38405,2016-05-16 22:55:28,2016-05-16 23:27:08,2016-05-27 16:38:36,Adaptive Clipping in JEM2.0,"F. Galpin, P. Bordes, F. Le Léannec (Technicolor)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0040-v4.zip,0
JVET-C0041,m38409,2016-05-16 23:53:40,2016-05-17 05:48:54,2016-05-17 05:48:54,Proposed test sequences for 1080p class,A. Norkin (Netflix),https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0041-v1.zip,0
JVET-C0042,m38418,2016-05-17 02:03:24,2016-05-17 03:52:57,2016-05-24 02:25:12,EE2.3: NSST-PDPC Harmonization,"S.-H. Kim, A. Segall (Sharp)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0042-v2.zip,1
JVET-C0043,m38424,2016-05-17 03:19:44,2016-05-17 03:43:16,2016-05-25 21:32:26,Arbitrary reference tier for intra directional modes,"Y.-J. Chang, P.-H. Lin, C.-L. Lin, J.-S. Tu, C.-C. Lin (ITRI)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0043-v2.zip,0
JVET-C0044,m38427,2016-05-17 03:44:50,2016-05-17 04:17:42,2016-05-28 04:47:21,Response to B1002 Call for test materials: Five test sequences for screen content video coding,"J. Guo, L. Zhao, T. Lin (Tongji Univ.), H. Yu (Futurewei)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0044-v3.zip,0
JVET-C0045,m38429,2016-05-17 04:09:26,2016-05-17 04:46:51,2016-05-25 07:27:51,EE2.7-related: On secondary transform when primary transform is skipped,"T.  Tsukuba, O.  Nakagami, T.  Suzuki (Sony)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0045-v2.zip,1
JVET-C0046,m38430,2016-05-17 04:11:03,2016-05-23 06:09:27,2016-05-27 11:09:17,RExt coding tools support on JEM,"T.  Tsukuba, O.  Nakagami, T.  Suzuki (Sony)",https://jvet-experts.org/doc_end_user/documents/3_Geneva/wg11/JVET-C0046-v2.zip,0
